,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference,program_name,branch_coverage,time_difference
,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,0,-1,test_union.c_1.i,50.00%,-1,test_union.c_1.i,50.00%,-1
,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,0,-1,test_locks_10.c,50.79%,-1,test_locks_10.c,50.79%,-1
,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,0,-1,test_locks_12.c,50.67%,-1,test_locks_12.c,50.67%,-1
,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,0,-1,test_locks_13.c,50.62%,-1,test_locks_13.c,50.62%,-1
,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,0,-1,test_locks_14-1.c,50.57%,-1,test_locks_14-1.c,50.57%,-1
,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1,array_1-2.c,0,-1,array_1-2.c,75.00%,-1,array_1-2.c,75.00%,-1
,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,0,-1,diamond_1-2.c,66.67%,-1,diamond_1-2.c,66.67%,-1
,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,0,-1,simple_1-2_abstracted.c,50.00%,-1,simple_1-2_abstracted.c,50.00%,-1
,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,0,-1,simple_4-1.c,75.00%,-1,simple_4-1.c,75.00%,-1
,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,0,-1,simple_array_index_value_1-1.i,77.78%,-1,simple_array_index_value_1-1.i,77.78%,-1
,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,0,-1,simple_array_index_value_1-2.i,44.44%,-1,simple_array_index_value_1-2.i,44.44%,-1
,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,0,-1,simple_array_index_value_3.i,55.56%,-1,simple_array_index_value_3.i,55.56%,-1
,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,-1,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,601.076015,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,641.3479939,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,616.2880156,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,611.9279947,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,629.987994,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,631.7600064,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,630.0119939,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,611.1279941,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,678.9399934,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,632.243994,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,654.4360073,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,625.0040157,simple_array_index_value_4.i.v+nlh-reducer.c,0,605.7519975,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,603.0359812,simple_array_index_value_4.i.v+nlh-reducer.c,3.12%,635.7239938
,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1,loop1-1.c,0,-1,loop1-1.c,37.50%,-1,loop1-1.c,37.50%,-1
,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1,loop1-2.c,0,-1,loop1-2.c,25.00%,-1,loop1-2.c,25.00%,-1
!,loop2-2.c,40.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1,loop2-2.c,0,-1,loop2-2.c,80.00%,-1,loop2-2.c,80.00%,-1
!,loop3.c,10.00%,-1,loop3.c,10.00%,-1,loop3.c,10.00%,-1,loop3.c,40.00%,-1,loop3.c,10.00%,-1,loop3.c,10.00%,-1,loop3.c,10.00%,-1,loop3.c,40.00%,-1,loop3.c,40.00%,-1,loop3.c,10.00%,-1,loop3.c,40.00%,-1,loop3.c,40.00%,-1,loop3.c,40.00%,-1,loop3.c,0,-1,loop3.c,40.00%,-1,loop3.c,40.00%,-1
,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,0,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1,aiob_4.c.v+lh-reducer.c,9.09%,-1
!,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,50.00%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,50.00%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,50.00%,-1,mod3.c.v+cfa-reducer.c,0,-1,mod3.c.v+cfa-reducer.c,41.67%,-1,mod3.c.v+cfa-reducer.c,50.00%,-1
!,mod3.c.v+sep-reducer.c,30.00%,-1,mod3.c.v+sep-reducer.c,40.00%,-1,mod3.c.v+sep-reducer.c,40.00%,-1,mod3.c.v+sep-reducer.c,30.00%,-1,mod3.c.v+sep-reducer.c,40.00%,-1,mod3.c.v+sep-reducer.c,45.00%,-1,mod3.c.v+sep-reducer.c,45.00%,-1,mod3.c.v+sep-reducer.c,30.00%,-1,mod3.c.v+sep-reducer.c,45.00%,-1,mod3.c.v+sep-reducer.c,45.00%,-1,mod3.c.v+sep-reducer.c,45.00%,-1,mod3.c.v+sep-reducer.c,45.00%,-1,mod3.c.v+sep-reducer.c,30.00%,-1,mod3.c.v+sep-reducer.c,0,-1,mod3.c.v+sep-reducer.c,45.00%,-1,mod3.c.v+sep-reducer.c,40.00%,-1
,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,0,-1,ofuf_3.c,1.39%,-1,ofuf_3.c,1.39%,-1
,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,0,-1,bin-suffix-5.c,25.00%,-1,bin-suffix-5.c,25.00%,-1
!,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,12.50%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,12.50%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,12.50%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,75.00%,-1,linear-inequality-inv-a.c,0,-1,linear-inequality-inv-a.c,12.50%,-1,linear-inequality-inv-a.c,37.50%,-1
,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1,mod4.c,0,-1,mod4.c,25.00%,-1,mod4.c,25.00%,-1
!,fragtest_simple.i,66.67%,-1,fragtest_simple.i,73.33%,-1,fragtest_simple.i,73.33%,821.4439921,fragtest_simple.i,73.33%,854.7919893,fragtest_simple.i,73.33%,-1,fragtest_simple.i,73.33%,815.4319963,fragtest_simple.i,73.33%,638.6359944,fragtest_simple.i,73.33%,-1,fragtest_simple.i,66.67%,-1,fragtest_simple.i,73.33%,774.6679966,fragtest_simple.i,73.33%,840.1319964,fragtest_simple.i,73.33%,-1,fragtest_simple.i,73.33%,-1,fragtest_simple.i,0,-1,fragtest_simple.i,73.33%,-1,fragtest_simple.i,73.33%,-1
,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1,nest-if3.i,0,-1,nest-if3.i,64.71%,-1,nest-if3.i,64.71%,-1
!,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,66.67%,-1,sendmail-close-angle.i,66.67%,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,66.67%,-1,sendmail-close-angle.i,0,-1,sendmail-close-angle.i,40.00%,-1,sendmail-close-angle.i,60.00%,-1
,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,0,-1,gcnr2008.i,38.46%,-1,gcnr2008.i,38.46%,-1
!,hhk2008.i,54.55%,-1,hhk2008.i,54.55%,-1,hhk2008.i,63.64%,-1,hhk2008.i,54.55%,-1,hhk2008.i,63.64%,-1,hhk2008.i,54.55%,-1,hhk2008.i,45.45%,-1,hhk2008.i,54.55%,-1,hhk2008.i,54.55%,-1,hhk2008.i,54.55%,-1,hhk2008.i,54.55%,-1,hhk2008.i,54.55%,-1,hhk2008.i,54.55%,-1,hhk2008.i,0,-1,hhk2008.i,54.55%,-1,hhk2008.i,54.55%,-1
,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,0,-1,mine2017-ex4.10.i,60.00%,-1,mine2017-ex4.10.i,60.00%,-1
,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,0,-1,mine2017-ex4.7.i,11.11%,-1,mine2017-ex4.7.i,11.11%,-1
,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1,count_by_1.i,0,-1,count_by_1.i,42.86%,-1,count_by_1.i,42.86%,-1
,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1,count_by_2.i,0,-1,count_by_2.i,42.86%,-1,count_by_2.i,42.86%,-1
,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,63.64%,-1,half.i,0,-1,half.i,63.64%,-1,half.i,63.64%,-1
