program_name,Number of lines,Number of functions,Cyclomatic complexity,Total edges in AST,Height of AST,Maximum nested loop depth,Number of equality constraints,Number of inequality constraints,Call stack depth,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c1,c2,c3,c4,c5,c6,c7,c8,c9
combinations/gcd_1+newton_1_3.i,112,9,9,441,13,1,2,7,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/gcd_1+newton_1_4.i,112,9,9,441,13,1,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
combinations/pals_lcr.3.1.ufo.BOUNDED-6.pals+Problem12_label01.c,5130,14,785,46999,232,1,3813,2883,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
combinations/pals_lcr.3.ufo.BOUNDED-6.pals+Problem12_label01.c,5128,14,785,46995,232,1,3813,2883,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label06.c,5133,15,786,47005,232,1,3814,2882,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label07.c,5133,15,786,47005,232,1,3814,2882,6,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
combinations/pals_lcr.3.ufo.UNBOUNDED.pals+Problem12_label08.c,5133,15,786,47005,232,1,3814,2882,6,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1
combinations/pals_lcr.6.1.ufo.BOUNDED-12.pals+Problem12_label01.c,5352,18,821,47901,232,1,3828,2907,6,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,5354,18,822,47897,232,1,3829,2906,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label02.c,5354,18,822,47897,232,1,3829,2906,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label04.c,5354,18,822,47897,232,1,3829,2906,6,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label07.c,5350,18,821,47897,232,1,3828,2907,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label08.c,5350,18,821,47897,232,1,3828,2907,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label09.c,5350,18,821,47897,232,1,3828,2907,6,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label04.c,5351,18,821,47909,232,1,3828,2906,6,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label05.c,5351,18,821,47909,232,1,3828,2906,6,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label09.c,5351,18,821,47909,232,1,3828,2906,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label01.c,5433,19,835,48231,232,1,3833,2917,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label02.c,5433,19,835,48231,232,1,3833,2917,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label04.c,5433,19,835,48231,232,1,3833,2917,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label05.c,5433,19,835,48231,232,1,3833,2917,6,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label09.c,5433,19,835,48231,232,1,3833,2917,6,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label02.c,5435,19,836,48227,232,1,3834,2916,6,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label04.c,5435,19,836,48227,232,1,3834,2916,6,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label05.c,5435,19,836,48227,232,1,3834,2916,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,5435,19,836,48227,232,1,3834,2916,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label00.c,5431,19,835,48227,232,1,3833,2917,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,5431,19,835,48227,232,1,3833,2917,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,5431,19,835,48227,232,1,3833,2917,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,5431,19,835,48227,232,1,3833,2917,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
combinations/square_1+soft_float_4-2a.c.cil.c,311,9,28,1056,13,1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
combinations/square_2+soft_float_1-2a.c.cil.c,404,9,44,1264,16,1,6,35,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
combinations/square_2+soft_float_2a.c.cil.c,323,9,30,1050,13,1,4,21,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations/square_2+soft_float_4-2a.c.cil.c,311,9,28,1056,13,1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
combinations/square_3+soft_float_4-2a.c.cil.c,311,9,28,1056,13,1,3,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eca-rers2012/Problem16_label06.c,1793,4,328,15798,232,1,1401,883,4,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
eca-rers2012/Problem16_label07.c,1793,4,328,15798,232,1,1401,883,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
float-benchs/sin_interpolated_bigrange_loose.c,157,8,6,829,13,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
float-newlib/double_req_bl_0660b.c,274,5,45,962,17,1,7,21,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
float-newlib/float_req_bl_0660a.c,245,5,44,901,17,1,7,20,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
float-newlib/float_req_bl_0661a.c,243,5,44,896,17,1,6,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
float-newlib/float_req_bl_0661b.c,246,5,44,894,17,1,6,20,4,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1
floats-cdfpl/sine_4.i,41,3,3,191,13,0,0,4,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ldv-regression/test22-2.c,59,5,4,225,10,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
loop-invariants/linear-inequality-inv-a.c,40,2,5,105,8,1,1,3,3,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0
loop-invgen/fragtest_simple.i,56,4,8,240,9,1,0,5,3,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1
loop-invgen/nest-if3.i,39,4,9,208,11,2,0,6,3,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
loop-lit/hhk2008.i,39,4,6,198,9,1,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ntdrivers-simplified/cdaudio_simpl1.cil-1.c,2160,29,195,5598,57,1,108,57,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ntdrivers-simplified/cdaudio_simpl1.cil-2.c,2155,29,194,5590,57,1,108,56,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ntdrivers-simplified/diskperf_simpl1.cil.c,1107,26,93,3022,26,1,55,20,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ntdrivers-simplified/floppy_simpl3.cil-1.c,1144,25,104,2990,29,1,60,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ntdrivers-simplified/floppy_simpl3.cil-2.c,1158,26,104,3028,29,1,60,24,9,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
ntdrivers-simplified/floppy_simpl4.cil-1.c,1637,29,147,4137,54,1,81,38,9,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ntdrivers-simplified/floppy_simpl4.cil-2.c,1637,29,147,4138,54,1,81,38,9,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
ntdrivers-simplified/kbfiltr_simpl1.cil.c,591,12,67,1414,55,0,48,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ntdrivers-simplified/kbfiltr_simpl2.cil-1.c,1023,17,108,2402,55,0,79,16,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
openssl-simplified/s3_clnt_2.cil-1.c,572,3,90,1385,85,1,43,25,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
openssl-simplified/s3_clnt_3.cil-3.c,596,3,90,1486,85,1,43,25,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1
openssl-simplified/s3_srvr_8.cil.c,655,3,107,1536,97,1,51,28,4,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0
openssl/s3_srvr.blast.07.i.cil-1.c,1768,6,108,6452,97,1,51,27,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
openssl/s3_srvr.blast.09.i.cil-1.c,1768,6,108,6452,97,1,51,27,4,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
openssl/s3_srvr.blast.15.i.cil-2.c,1781,6,112,6490,97,1,55,27,4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
psyco/psyco_abp_1-1.c,579,2,102,2735,23,1,49,192,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
psyco/psyco_abp_1-2.c,575,2,101,2726,23,1,49,191,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
psyco/psyco_abp_1-3.c,575,2,101,2726,23,1,49,191,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_floodmax.3.1.ufo.BOUNDED-6.pals.c,531,8,85,1825,50,1,31,30,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
seq-mthreaded/pals_floodmax.3.1.ufo.UNBOUNDED.pals.c,543,9,88,1843,50,1,34,29,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
seq-mthreaded/pals_floodmax.3.2.ufo.BOUNDED-6.pals.c,555,8,91,1867,62,1,31,30,4,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0
seq-mthreaded/pals_floodmax.3.ufo.UNBOUNDED.pals.c,567,9,94,1885,62,1,34,29,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
seq-mthreaded/pals_floodmax.3_overflow.ufo.UNBOUNDED.pals.c,558,9,91,1885,62,1,31,29,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_floodmax.4.1.ufo.BOUNDED-8.pals.c,1200,10,219,3541,68,1,44,48,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_floodmax.4.1.ufo.UNBOUNDED.pals.c,1212,10,223,3545,68,1,48,47,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_floodmax.4.2.ufo.BOUNDED-8.pals.c,1248,10,231,3625,92,1,44,48,4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0
seq-mthreaded/pals_lcr-var-start-time.3.ufo.UNBOUNDED.pals.c,314,9,46,1166,42,1,21,24,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr-var-start-time.4.1.ufo.BOUNDED-8.pals.c,391,9,59,1481,56,1,26,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
seq-mthreaded/pals_lcr-var-start-time.4.2.ufo.BOUNDED-8.pals.c,386,9,58,1452,56,1,25,32,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr-var-start-time.4.2.ufo.UNBOUNDED.pals.c,391,10,59,1462,56,1,26,31,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr-var-start-time.4.ufo.BOUNDED-8.pals.c,389,9,59,1477,56,1,26,34,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr-var-start-time.4.ufo.UNBOUNDED.pals.c,394,10,60,1487,56,1,27,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
seq-mthreaded/pals_lcr-var-start-time.5.2.ufo.BOUNDED-10.pals.c,473,11,73,1804,72,1,31,42,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr-var-start-time.5.2.ufo.UNBOUNDED.pals.c,475,11,74,1800,72,1,32,41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
seq-mthreaded/pals_lcr-var-start-time.5.ufo.BOUNDED-10.pals.c,476,11,74,1829,72,1,32,44,4,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0
seq-mthreaded/pals_lcr.3.ufo.BOUNDED-6.pals.c,280,8,37,1041,40,1,18,19,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.3_overflow.ufo.UNBOUNDED.pals.c,284,9,37,1067,40,1,18,18,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.4.1.ufo.BOUNDED-8.pals.c,351,9,48,1324,54,1,23,26,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
seq-mthreaded/pals_lcr.4.1.ufo.UNBOUNDED.pals.c,356,10,49,1334,54,1,24,25,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
seq-mthreaded/pals_lcr.4.ufo.BOUNDED-8.pals.c,349,9,48,1320,54,1,23,26,4,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
seq-mthreaded/pals_lcr.4.ufo.UNBOUNDED.pals.c,354,10,49,1330,54,1,24,25,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.4_overflow.ufo.UNBOUNDED.pals.c,353,10,48,1346,54,1,23,25,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.5.1.ufo.BOUNDED-10.pals.c,427,11,60,1634,70,1,28,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
seq-mthreaded/pals_lcr.5.1.ufo.UNBOUNDED.pals.c,429,11,61,1630,70,1,29,33,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.5.ufo.BOUNDED-10.pals.c,425,11,60,1630,70,1,28,34,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
seq-mthreaded/pals_lcr.5.ufo.UNBOUNDED.pals.c,427,11,61,1626,70,1,29,33,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.5_overflow.ufo.UNBOUNDED.pals.c,426,11,60,1642,70,1,28,33,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
seq-mthreaded/pals_lcr.6.1.ufo.BOUNDED-12.pals.c,504,12,73,1947,88,1,33,43,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.6.1.ufo.UNBOUNDED.pals.c,506,12,74,1943,88,1,34,42,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.6.ufo.BOUNDED-12.pals.c,502,12,73,1943,88,1,33,43,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
seq-mthreaded/pals_lcr.6.ufo.UNBOUNDED.pals.c,504,12,74,1939,88,1,34,42,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.8.1.ufo.BOUNDED-16.pals.c,673,14,102,2652,130,1,43,64,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_lcr.8.1.ufo.UNBOUNDED.pals.c,675,14,103,2648,130,1,44,63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
seq-mthreaded/pals_lcr.8_overflow.ufo.UNBOUNDED.pals.c,672,14,102,2660,130,1,43,63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
seq-mthreaded/pals_opt-floodmax.3.1.ufo.BOUNDED-6.pals.c,573,8,94,1966,54,1,31,30,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
seq-mthreaded/pals_opt-floodmax.3.3.ufo.BOUNDED-6.pals.c,600,9,100,2022,66,1,31,30,4,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
seq-mthreaded/pals_opt-floodmax.3.4.ufo.UNBOUNDED.pals.c,609,9,103,2026,66,1,34,29,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
seq-mthreaded/pals_opt-floodmax.3.ufo.BOUNDED-6.pals.c,600,9,100,2022,66,1,31,30,4,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0
seq-mthreaded/pals_opt-floodmax.3.ufo.UNBOUNDED.pals.c,609,9,103,2026,66,1,34,29,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
seq-mthreaded/pals_opt-floodmax.3_overflow.ufo.UNBOUNDED.pals.c,600,9,100,2026,66,1,31,29,4,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
seq-mthreaded/pals_opt-floodmax.4.1.ufo.BOUNDED-8.pals.c,1268,10,235,3769,74,1,44,48,4,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0
seq-mthreaded/pals_opt-floodmax.4.1.ufo.UNBOUNDED.pals.c,1280,10,239,3773,74,1,48,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
seq-mthreaded/pals_opt-floodmax.4.2.ufo.BOUNDED-8.pals.c,1316,10,247,3853,98,1,44,48,4,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
seq-mthreaded/pals_opt-floodmax.4.2.ufo.UNBOUNDED.pals.c,1328,10,251,3857,98,1,48,47,4,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1
seq-mthreaded/pals_opt-floodmax.4.4.ufo.UNBOUNDED.pals.c,1328,10,251,3857,98,1,48,47,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_opt-floodmax.4.ufo.BOUNDED-8.pals.c,1316,10,247,3853,98,1,44,48,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
seq-mthreaded/pals_opt-floodmax.4.ufo.UNBOUNDED.pals.c,1331,10,252,3865,98,1,49,47,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
seq-mthreaded/pals_opt-floodmax.4_overflow.ufo.UNBOUNDED.pals.c,1316,10,247,3857,98,1,44,47,4,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
seq-mthreaded/pals_opt-floodmax.5.1.ufo.BOUNDED-10.pals.c,2858,11,583,7255,96,1,59,71,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
seq-mthreaded/pals_opt-floodmax.5.1.ufo.UNBOUNDED.pals.c,2873,11,588,7259,96,1,64,70,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
seq-mthreaded/pals_opt-floodmax.5.2.ufo.BOUNDED-10.pals.c,2938,11,603,7395,136,1,59,71,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_opt-floodmax.5.4.ufo.BOUNDED-10.pals.c,2938,11,603,7395,136,1,59,71,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
seq-mthreaded/pals_opt-floodmax.5.ufo.BOUNDED-10.pals.c,2938,11,603,7395,136,1,59,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
seq-mthreaded/pals_opt-floodmax.5.ufo.UNBOUNDED.pals.c,2953,11,608,7399,136,1,64,70,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
seq-mthreaded/pals_opt-floodmax.5_overflow.ufo.UNBOUNDED.pals.c,2938,11,603,7399,136,1,59,70,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
seq-pthread/cs_lazy.i,807,25,64,3709,13,2,24,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
seq-pthread/cs_stateful-1.i,814,24,66,3748,13,2,25,43,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
