File,Number of lines,Number of functions,Cyclomatic complexity,Total edges in AST,Height of AST,Maximum nested loop depth,Number of equality constraints,Number of inequality constraints,Call stack depth
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label01.c,5354,18,822,47897,232,1,3829,2906,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label02.c,5354,18,822,47897,232,1,3829,2906,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label04.c,5354,18,822,47897,232,1,3829,2906,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label07.c,5350,18,821,47897,232,1,3828,2907,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label08.c,5350,18,821,47897,232,1,3828,2907,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6.ufo.BOUNDED-12.pals+Problem12_label09.c,5350,18,821,47897,232,1,3828,2907,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label04.c,5351,18,821,47909,232,1,3828,2906,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label05.c,5351,18,821,47909,232,1,3828,2906,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.6_overflow.ufo.UNBOUNDED.pals+Problem12_label09.c,5351,18,821,47909,232,1,3828,2906,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label01.c,5433,19,835,48231,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label02.c,5433,19,835,48231,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label04.c,5433,19,835,48231,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label05.c,5433,19,835,48231,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.BOUNDED-14.pals+Problem12_label09.c,5433,19,835,48231,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label02.c,5435,19,836,48227,232,1,3834,2916,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label04.c,5435,19,836,48227,232,1,3834,2916,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label05.c,5435,19,836,48227,232,1,3834,2916,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.1.ufo.UNBOUNDED.pals+Problem12_label09.c,5435,19,836,48227,232,1,3834,2916,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label00.c,5431,19,835,48227,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label01.c,5431,19,835,48227,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label02.c,5431,19,835,48227,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/pals_lcr.7.ufo.BOUNDED-14.pals+Problem12_label03.c,5431,19,835,48227,232,1,3833,2917,6
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/Problem05_label43+token_ring.13.cil-1.c,13154,54,2137,103932,234,1,17808,11,12
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/Problem05_label45+token_ring.09.cil-1.c,12642,46,2068,102956,234,1,17755,7,12
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/Problem05_label49+token_ring.02.cil-2.c,11779,32,1961,101336,234,1,17665,11,12
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/Problem05_label49+token_ring.06.cil-1.c,12279,40,2025,102280,234,1,17717,11,12
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/Problem05_label49+token_ring.07.cil-1.c,12392,42,2036,102484,234,1,17729,7,12
/mnt/e/OneDrive/Desktop/result/extract_features/cfiles32/combinations/Problem05_label49+token_ring.10.cil-2.c,12767,48,2084,103192,234,1,17768,7,12
